label,cleaned_message
0,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
0,ok lar joke wif u oni
1,free entri 2 wkli comp win fa cup final tkt 21st may 2005 text fa 87121 receiv entri questionstd txt ratetc appli 08452810075over18
0,u dun say earli hor u c alreadi say
0,nah dont think goe usf live around though
1,freemsg hey darl 3 week word back id like fun still tb ok xxx std chg send å£150 rcv
0,even brother like speak treat like aid patent
0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
1,winner valu network custom select receivea å£900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
1,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030
0,im gonna home soon dont want talk stuff anymor tonight k ive cri enough today
1,six chanc win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6day 16 tsandc appli repli hl 4 info
1,urgent 1 week free membership å£100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
0,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time
0,date sunday
1,xxxmobilemovieclub use credit click wap link next txt messag click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
0,oh kim watch
0,eh u rememb 2 spell name ye v naughti make v wet
0,fine thatåõ way u feel thatåõ way gota b
1,england v macedonia dont miss goalsteam news txt ur nation team 87077 eg england 87077 trywal scotland 4txtì¼120 poboxox36504w45wq 16
0,serious spell name
0,iû÷m go tri 2 month ha ha joke
0,ì pay first lar da stock comin
0,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi
0,ffffffffff alright way meet sooner
0,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol
0,lol alway convinc
0,catch bu fri egg make tea eat mom left dinner feel love
0,im back amp pack car ill let know there room
0,ahhh work vagu rememb feel like lol
0,wait that still clear sure sarcast that x doesnt want live us
0,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wont go badli cheer
0,k tell anyth
0,fear faint housework quick cuppa
1,thank subscript rington uk mobil charg å£5month pleas confirm repli ye repli charg
0,yup ok go home look time msg ì xuhui go learn 2nd may lesson 8am
0,oop ill let know roommat done
0,see letter b car
0,anyth lor u decid
0,hello how saturday go text see youd decid anyth tomo im tri invit anyth
0,pl go ahead watt want sure great weekend abiola
